FID,Route_Name,Route_Numb,Route_Dire,On_Street,At_Street,X,Y
549,Central 3,0.000000000000000, ,Girardot,South,-83.069064266200002,42.291399791099998
550,Central 3,0.000000000000000, ,Girardot,Strathmore,-83.069908936600001,42.290034166100000
551,Central 3,0.000000000000000, ,Connaught,Chappell,-83.063756170000005,42.283005446499999
552,Central 3,0.000000000000000, ,Sun Valley,Greenview,-83.063264926200006,42.279264398599999
553,Central 3,0.000000000000000, ,Sun Valley,Malden,-83.059349523400002,42.278405584399998
554,Central 3,0.000000000000000, ,Brunet,Industrial,-83.057809412500006,42.278066202799998
555,Central 3,0.000000000000000, ,Industrial,Ambassador,-83.053036824499998,42.275148320900001
556,Central 3,0.000000000000000, ,Ambassador,Shoppers UrgentCare,-83.054533342300005,42.278100912500001
557,Central 3,0.000000000000000, ,Ambassador,Malden,-83.056762315399993,42.281564676199999
558,Central 3,0.000000000000000, ,Daytona,Malden,-83.054342877799996,42.283567872100001
559,Central 3,0.000000000000000, ,Daytona,Totten,-83.055823247500001,42.285905461299997
560,Central 3,0.000000000000000, ,Northway,Algonquin,-83.056230016300006,42.288436725799997
561,Central 3,0.000000000000000, ,Tecumseh,Northway,-83.057207578700002,42.290843390100001
562,Central 3,0.000000000000000, ,Tecumseh,California,-83.054782389699994,42.291866875799997
563,Central 3,0.000000000000000, ,Tecumseh,Randolph,-83.052497385400002,42.292988548399997
564,Central 3,0.000000000000000, ,Tecumseh,Bridge,-83.049923622500003,42.294246662699997
565,Central 3,0.000000000000000, ,Tecumseh,Campbell,-83.047897394700001,42.295412309400000
566,Central 3,0.000000000000000, ,Tecumseh,Curry,-83.044594235600002,42.296841044899999
567,Central 3,0.000000000000000, ,Crawford,Tecumseh,-83.039917163599995,42.299390502800001
568,Central 3,0.000000000000000, ,Crawford,Grove,-83.042030977400003,42.302595118799999
569,Central 3,0.000000000000000, ,Crawford,Erie,-83.043874131799996,42.305527366600003
570,Central 3,0.000000000000000, ,Crawford,College,-83.044600793499995,42.306719668200003
571,Central 3,0.000000000000000, ,Crawford,Elliott,-83.045788487099998,42.308645625600001
572,Central 3,0.000000000000000, ,Crawford,Wyandotte,-83.046648495300005,42.310231181600003
573,Central 3,0.000000000000000, ,Erie,Ouellette,-83.033054815699998,42.309155908500003
574,Central 3,0.000000000000000, ,Erie,Goyeau,-83.031456093200006,42.309707955800000
575,Central 3,0.000000000000000, ,Erie,McDougall,-83.028943102100001,42.310607456000000
576,Central 3,0.000000000000000, ,Erie,Howard,-83.025355759099995,42.311878076299998
