the_geom,stop_code,OBJECTID,stop_id,stop_name,stop_desc,stop_lat,stop_lon,Source
POINT (-83.05758599999996 42.33600400000006),GRFSEB,237,337,Grand River & Fisher Ser. Dr.,Grand River Ave & 2nd Ave,42.336004,-83.057586,DDOT GTFS
POINT (-83.03833499999996 42.33160000000004),JFSAWB,238,341,Jefferson & St Antoine,,42.3316,-83.038335,DDOT GTFS
POINT (-83.05967299999998 42.336918000000026),GRFSWB,239,344,Grand River & Fisher Ser. Dr.,W Grand River Ave & Fisher Frwy Service Dr,42.336918,-83.059673,DDOT GTFS
POINT (-83.08992099999995 42.349289000000056),GRWRWB,240,346,Grand River & Warren,Grand River Ave & W Warren Ave,42.349289,-83.089921,DDOT GTFS
POINT (-83.10939599999995 42.35705800000005),GRBVWB,241,347,Grand River & West Grand Blvd,Grand River Ave & W Grand Blvd,42.357058,-83.109396,DDOT GTFS
POINT (-83.13098899999994 42.36567500000007),GRJYWB,242,348,Grand River & Joy Road  (west of Riviera),Grand River Ave & Riviera St,42.365675,-83.130989,DDOT GTFS
POINT (-83.15085199999999 42.37371500000006),GROMWB,243,349,Grand River & Oakman,Grand River Ave & Oakman Blvd,42.373715,-83.150852,DDOT GTFS
POINT (-83.15917199999996 42.37697300000008),GRWYWB,244,350,Grand River & Wyoming,Grand River Ave & Wyoming St,42.376973,-83.159172,DDOT GTFS
POINT (-83.17867499999994 42.38494600000007),GRSFWB,245,351,Grand River & Schaefer,,42.384946,-83.178675,DDOT GTFS
POINT (-83.19827999999995 42.39259500000003),GRGFWB,246,352,Grand River & Greenfield,Grand River Ave & Greenfield Rd,42.392595,-83.19828,DDOT GTFS
POINT (-83.21885599999996 42.40096500000004),GRSOWB,247,353,Grand River & Southfield,W Grand River Ave & Southfield Fwy,42.400965,-83.218856,DDOT GTFS
POINT (-83.23807899999997 42.408491000000026),GREGWB,248,354,Grand River & Evergreen,Grand River Ave & Evergreen Rd,42.408491,-83.238079,DDOT GTFS
POINT (-83.25287799999995 42.41452300000003),GR6MWB,249,356,Grand River & McNichols,Grand River Ave & W Mcnichols Rd,42.414523,-83.252878,DDOT GTFS
POINT (-83.19940599999995 42.41556300000008),GF6MSB,250,358,Greenfield & McNichols,Greenfield Rd & W Mcnichols Rd,42.415563,-83.199406,DDOT GTFS
POINT (-83.19843899999995 42.39228200000008),GFGRSB,251,359,Greenfield & Grand River,Greenfield Rd & Grand River Ave,42.392282,-83.198439,DDOT GTFS
POINT (-83.19829199999998 42.386790000000076),GFSTSB,252,360,Greenfield & Schoolcraft,Greenfield Rd & Schoolcraft St,42.38679,-83.198292,DDOT GTFS
POINT (-83.19777899999997 42.37224700000007),GFPYSB,253,361,Greenfield & Plymouth,Greenfield Rd & Plymouth Rd,42.372247,-83.197779,DDOT GTFS
POINT (-83.19727799999998 42.35777600000006),GFJYSB,254,362,Greenfield & Joy Road,Greenfield Rd & Joy Rd,42.357776,-83.197278,DDOT GTFS
POINT (-83.19678899999997 42.343458000000055),GFWRSB,255,363,Greenfield & Warren,Greenfield Rd & W Warren Ave,42.343458,-83.196789,DDOT GTFS
POINT (-83.19595899999996 42.32794100000007),GFFDSB,256,364,Greenfield & Ford Road,Greenfield Rd & Ford Meadows Shopping Cntr Plz,42.327941,-83.195959,DDOT GTFS
POINT (-83.21781699999997 42.319112000000075),FRLN,257,368,Fairlane Town Center,18900 Town Center Dr & Timber Ridge Dr,42.319112,-83.217817,DDOT GTFS
POINT (-83.19512899999995 42.31736100000006),GFMNNB,258,372,Greenfield & Michigan,Greenfield Rd & Michigan Ave,42.317361,-83.195129,DDOT GTFS
POINT (-83.19573899999995 42.32794100000007),GFFDNB,259,373,Greenfield & Ford Road,Greenfield Rd & Ford Meadows Shopping Cntr Plz,42.327941,-83.195739,DDOT GTFS
POINT (-83.19661799999994 42.344137000000046),GFWRNB,260,374,Greenfield & Warren,Greenfield Rd & W Warren Ave,42.344137,-83.196618,DDOT GTFS
POINT (-83.19709499999999 42.35825900000003),GFJYNB,261,375,Greenfield & Joy Road,Greenfield Rd & Joy Rd,42.358259,-83.197095,DDOT GTFS
POINT (-83.19758299999995 42.372686000000044),GFPYNB,262,376,Greenfield & Plymouth,Greenfield Rd & Plymouth Rd,42.372686,-83.197583,DDOT GTFS
